Suplementacion,Expresion genica
Carbohidratos,1.299
Carbohidratos,1.172
Carbohidratos,1.33
Carbohidratos,1.505
Carbohidratos,1.153
Carbohidratos,1.153
Carbohidratos,1.516
Carbohidratos,1.353
Carbohidratos,1.106
Carbohidratos,1.309
Carbohidratos,1.107
Carbohidratos,1.107
Carbohidratos,1.248
Carbohidratos,0.817
Carbohidratos,0.855
Carbohidratos,1.088
Carbohidratos,0.997
Carbohidratos,1.263
Carbohidratos,1.018
Carbohidratos,0.918
Carbohidratos,1.493
Carbohidratos,1.155
Carbohidratos,1.214
Carbohidratos,0.915
Carbohidratos,1.091
Proteinas,1.533
Proteinas,1.155
Proteinas,1.613
Proteinas,1.32
Proteinas,1.412
Proteinas,1.319
Proteinas,2.056
Proteinas,1.496
Proteinas,1.183
Proteinas,1.747
Proteinas,1.134
Proteinas,1.563
Proteinas,0.912
Proteinas,1.102
Proteinas,1.559
Proteinas,1.722
Proteinas,1.551
Proteinas,1.465
Proteinas,1.41
Proteinas,1.056
Proteinas,1.284
Proteinas,1.362
Proteinas,1.817
Proteinas,1.603
Proteinas,0.971
Grasas,1.481
Grasas,1.304
Grasas,1.231
Grasas,1.553
Grasas,1.658
Grasas,1.633
Grasas,1.19
Grasas,1.323
Grasas,1.483
Grasas,1.644
Grasas,1.28
Grasas,1.354
Grasas,1.123
Grasas,1.101
Grasas,1.603
Grasas,1.739
Grasas,1.382
Grasas,1.651
Grasas,1.49
Grasas,1.239
Grasas,1.49
Grasas,1.785
Grasas,1.391
Grasas,1.791
Grasas,0.745
