NAMES	SKF1	SKF2	SKF3	Col 4h 1	Col 4h 2	Col 4h 3	Col 6h 1	Col 6h 2	Col 6h 3	Col 8h 1	Col 8h 2	Col 8h 3
ABCA1	0.423382794	-0.260446961	0.423382794	-0.753525383	-0.753525383	0.322478815	0.542338425	-0.484299882	0.542338425	0.63988892	0.784599619	0.784599619
ABCA2	-0.36475208	-1.050419095	-0.36475208	0.388211147	0.388211147	0.867931821	0.132493973	-1.150735518	0.132493973	-0.40566701	0.946779159	0.946779159
ABCA3	0.166611484	0.525845525	0.166611484	1.115406309	1.115406309	0.871456595	1.331721941	0.19072135	1.331721941	-0.072736368	-0.504087604	-0.504087604
ABCA4	-0.137054122	0.369349381	-0.137054122	-0.277740738	-0.277740738	0.962501982	-0.344183047	0.31937619	-0.344183047	-0.161267826	1.22405019	1.22405019
ABCA6	-0.470662792	0.744652234	-0.470662792	0.026627128	0.026627128	-0.200807851	-0.387827649	-0.424819728	-0.387827649	-0.153563038	0.895220145	0.895220145
ABCA7	0.031827533	1.071353965	0.031827533	0.624251303	0.624251303	0.595587146	0.930767396	-0.019250374	0.930767396	0.288414535	0.691973871	0.691973871
ABCA8	-0.263584505	0.303876935	-0.263584505	0.784371618	0.784371618	0.297803705	0.556625919	0.335694053	0.556625919	0.326032611	-0.377476194	-0.377476194
ABCB1	-0.156052666	0.053910494	-0.156052666	-0.080489909	-0.080489909	-0.105140141	-0.78934369	-0.291836405	-0.78934369	-0.151355723	0.595944701	0.595944701
ABCB4	0.271952787	-0.077449367	0.271952787	0.222351114	0.222351114	0.12458103	0.258908606	-0.291640172	0.258908606	0.124426205	0.17291942	0.17291942
ABCC1	0.576660671	0.20398428	0.576660671	0.952416059	0.952416059	0.604600514	0.820573971	0.568029186	0.820573971	1.101577814	0.115943182	0.115943182
ABCD1	-0.010245746	0.257263001	-0.010245746	0.212383503	0.212383503	-0.438336332	0.915372698	-0.193809455	0.915372698	0.728705574	-0.138823697	-0.138823697
ABCD2	-0.450418426	-0.118410391	-0.450418426	0.187466753	0.187466753	0.425489739	-0.604822432	0.236268375	-0.604822432	-0.147504558	0.013862487	0.013862487
ABCD3	0.160621651	-0.695337244	0.160621651	0.480159393	0.480159393	0.086724837	0.138064059	-0.231555557	0.138064059	0.231331434	-0.372440243	-0.372440243
ABCG1	-0.284015355	-0.957690944	-0.284015355	-0.388763345	-0.388763345	-0.114810168	-0.082660159	-0.717171317	-0.082660159	-0.14901866	0.453677614	0.453677614
ABCG4	-0.332125942	-0.704827909	-0.332125942	0.156829585	0.156829585	0.317267547	-0.187881471	-0.195408912	-0.187881471	-0.493223381	0.622667631	0.622667631
ABCG5	-0.428576799	0.061751372	-0.428576799	0.404979516	0.404979516	-0.36458846	0.767140843	-0.623670118	0.767140843	-0.2248485	1.207406976	1.207406976
ABCG8	-0.131601432	-1.225979802	-0.131601432	0.061015102	0.061015102	-0.126478823	-0.204709215	-1.280940748	-0.204709215	0.37448895	0.368092713	0.368092713
ACAA1	-0.54581839	-0.630402251	-0.54581839	-0.14067039	-0.14067039	0.903630847	-0.09716048	-0.176652758	-0.09716048	-0.191191631	-0.454685519	-0.454685519
ACAA2	-0.026982711	-0.297740604	-0.026982711	-0.120331301	-0.120331301	-0.257350604	-0.12527366	0.157455918	-0.12527366	0.733386443	0.53340476	0.53340476
ACACA	0.889499951	-0.416473139	0.889499951	0.258203008	0.258203008	-0.079317598	0.646499222	-0.548273302	0.646499222	0.072609292	-0.795617488	-0.795617488
ACACB	-0.338258922	-0.091815546	-0.338258922	0.569431119	0.569431119	-0.074118479	0.204835369	-0.329401201	0.204835369	-0.817074667	1.037635598	1.037635598
ACADL	-0.754386565	-0.575215871	-0.754386565	-0.275486063	-0.275486063	0.050758058	-0.35799942	-0.867362891	-0.35799942	-1.092874233	-0.248116583	-0.248116583
ACADM	0.611772532	-0.382627744	0.611772532	-0.968151269	-0.968151269	0.328506705	0.119165455	0.265694792	0.119165455	0.507048793	-0.118426651	-0.118426651
ACADS	-0.567012399	0.276178514	-0.567012399	-0.758396799	-0.758396799	-0.216266295	-0.165774467	-0.73742633	-0.165774467	-0.999611894	-0.064570494	-0.064570494
ACAS2	0.843598334	0.720968475	0.843598334	0.471037001	0.471037001	0.450508872	0.270936032	0.237422009	0.270936032	0.42324903	0.413294727	0.413294727
ACAT1	-0.013209242	-1.51780771	-0.013209242	-1.655280013	-1.655280013	-0.634995145	-0.903475139	0.301345262	-0.903475139	0.112778317	-0.757670165	-0.757670165
ACAT2	1.266387126	-0.27502991	1.266387126	0.11936439	0.11936439	0.291398199	-0.891244316	0.913377712	-0.891244316	0.05276644	-1.830456406	-1.830456406
ACOX1	0.299762151	-0.061979534	0.299762151	0.029790258	0.029790258	-0.055794749	-0.055597731	-0.818104571	-0.055597731	-0.924940976	0.125666123	0.125666123
ACOX2	0.179609357	0.544267331	0.179609357	-0.522502559	-0.522502559	-0.474227449	-0.472658558	-0.996185892	-0.472658558	-1.102965738	-0.328789724	-0.328789724
ACOX3	0.049980029	-0.589666247	0.049980029	0.045523016	0.045523016	-0.863634685	-0.019665366	0.259221977	-0.019665366	0.393185176	-0.293014931	-0.293014931
ACTB	0.495702583	0.127653691	0.495702583	1.933872424	1.933872424	-0.344354036	0.395247187	1.292619243	0.395247187	1.252142691	0.477883266	0.477883266
ADD3	-0.170250336	-0.299944368	-0.170250336	-0.110027819	-0.110027819	-0.304145899	-0.6165728	-0.99997258	-0.6165728	-1.46412319	0.06054162	0.06054162
ANGPTL4	0.553080504	-0.121784472	0.553080504	-0.142336008	-0.142336008	0.291236059	0.664168809	0.32001723	0.664168809	0.840266154	0.260709494	0.260709494
APM1	-0.236406012	0.455784272	-0.236406012	-0.477232349	-0.477232349	-0.483054715	-0.275196021	-0.294796452	-0.275196021	-0.797839786	-0.60025371	-0.60025371
